#Parameters = {FSS=70; FSSX=1; FSSY=-1; MT=0.018; T=0.13; epsilon=8.897084845; g=-10; gl=15; gw=26; hg=18; hgl=-3; hgnd1up=0; hgw=0.5; hgx1=15; hgy1=10; hsll=1.5; hslw=14.5; n=2; phanup=50; phanx=0; phany=0; pl=26; plusex=0; plusey=0; plusl=6.5; plusw=2.5; plusx=4; plusy=4; pw=23; r=17.35655495771; sl=24; sll=-10; sll1=-16; slot1side=0; slot1up=-1; slot2side=0; slot2up=-8; slw=0.5; slw1=0.5; stripl=19; stripw=1.5; stubl=2; stubw=0.5; stubx=-2.5; stw=0.5; stw1=0; sty=1; sw=30; tand=0.521143134; x=17}
#"Frequency / GHz"	"S1,1 [Magnitude]"
#------------------------------------
2.9440000057220	-8.5849723724399
2.9479999542236	-8.3742492327792
2.9519999027252	-8.1701717558029
2.9560000896454	-7.9724128144194
2.9600000381470	-7.7806955139578
2.9639999866486	-7.5947929276210
2.9679999351501	-7.4145132253581
2.9719998836517	-7.2396947136259
2.9760000705719	-7.0701969043062
2.9800000190735	-6.9058839854767
2.9839999675751	-6.7466238870897
2.9879999160767	-6.5922809646967
2.9920001029968	-6.4427058546062
2.9960000514984	-6.2977415316826
3.0000000000000	-6.1572137220330
3.0039999485016	-6.0209376212327
3.0079998970032	-5.8887213745690
3.0120000839233	-5.7603623431119
3.0160000324249	-5.6356646033557
3.0199999809265	-5.5144331900929
3.0239999294281	-5.3964831485511
3.0280001163483	-5.2816461916739
3.0320000648499	-5.1697712347881
3.0360000133514	-5.0607251562179
3.0399999618530	-4.9543996176595
3.0439999103546	-4.8507032532095
3.0480000972748	-4.7495654655163
3.0520000457764	-4.6509307654880
3.0559999942780	-4.5547588802530
3.0599999427795	-4.4610123213448
3.0639998912811	-4.3696600083003
3.0680000782013	-4.2806721805200
3.0720000267029	-4.1940103738433
3.0759999752045	-4.1096344501396
3.0799999237061	-4.0274929572990
3.0840001106262	-3.9475249502049
3.0880000591278	-3.8696629633163
3.0920000076294	-3.7938287868162
3.0959999561310	-3.7199400016790
3.0999999046326	-3.6479136091992
3.1040000915527	-3.5776594200387
3.1080000400543	-3.5090992973696
3.1119999885559	-3.4421563979871
3.1159999370575	-3.3767631543445
3.1199998855591	-3.3128638900989
3.1240000724792	-3.2504098690435
3.1280000209808	-3.1893693715626
3.1319999694824	-3.1297196703885
3.1359999179840	-3.0714472351750
3.1400001049042	-3.0145435525648
3.1440000534058	-2.9590123409521
3.1480000019073	-2.9048519079484
3.1519999504089	-2.8520643948640
3.1559998989105	-2.8006488487850
3.1600000858307	-2.7505979955424
3.1640000343323	-2.7018990838526
3.1679999828339	-2.6545297669755
3.1719999313354	-2.6084627461524
3.1760001182556	-2.5636614676221
3.1800000667572	-2.5200831637777
3.1840000152588	-2.4776789139803
3.1879999637604	-2.4363984405657
3.1919999122620	-2.3961906117411
3.1960000991821	-2.3570022167066
3.2000000476837	-2.3187864929222
3.2039999961853	-2.2815005663458
3.2079999446869	-2.2451053985654
3.2119998931885	-2.2095704212395
3.2160000801086	-2.1748721551893
3.2200000286102	-2.1409918103421
3.2239999771118	-2.1079172390105
3.2279999256134	-2.0756398845559
3.2320001125336	-2.0441537442771
3.2360000610352	-2.0134572053158
3.2400000095367	-1.9835440350232
3.2439999580383	-1.9544076709712
3.2479999065399	-1.9260388264673
3.2520000934601	-1.8984236966834
3.2560000419617	-1.8715440580343
3.2599999904633	-1.8453773031164
3.2639999389648	-1.8198985869184
3.2679998874664	-1.7950786101139
3.2720000743866	-1.7708870307343
3.2760000228882	-1.7472934280432
3.2799999713898	-1.7242693796116
3.2839999198914	-1.7017853310733
3.2880001068115	-1.6798214945235
3.2920000553131	-1.6583589357959
3.2960000038147	-1.6373854598632
3.2999999523163	-1.6168928742793
3.3039999008179	-1.5968807228473
