FREQ,S11
5.355000019,-17.35824276
5.369999886,-16.35705218
5.385000229,-15.38055182
5.400000095,-14.45175
5.414999962,-13.58045644
5.429999828,-12.76925628
5.445000172,-12.01702268
5.460000038,-11.32088087
5.474999905,-10.67723131
5.489999771,-10.08229649
5.505000114,-9.532369557
5.519999981,-9.023941117
5.534999847,-8.553746353
5.550000191,-8.118759573
5.565000057,-7.716190967
5.579999924,-7.34347188
5.59499979,-6.998219815
5.610000134,-6.678240014
5.625,-6.381486427
5.639999866,-6.106069765
5.65500021,-5.850222968
5.670000076,-5.612313436
5.684999943,-5.390823115
5.699999809,-5.184348293
5.715000153,-4.991592239
5.730000019,-4.811367238
5.744999886,-4.642591193
5.760000229,-4.484284441
5.775000095,-4.335567014
5.789999962,-4.195659456
5.804999828,-4.063874898
5.820000172,-3.939617841
5.835000038,-3.822372492
5.849999905,-3.711705342
5.864999771,-3.607248083
5.880000114,-3.508694373
5.894999981,-3.415786305
5.909999847,-3.328306986
5.925000191,-3.246067963
5.940000057,-3.168902908
5.954999924,-3.096651685
5.96999979,-3.029157907
5.985000134,-2.966254159
6,-2.907765567
6.014999866,-2.853489278
6.03000021,-2.80320821
6.045000076,-2.75667661
6.059999943,-2.713622031
6.074999809,-2.673753902
6.090000153,-2.636755992
6.105000019,-2.602301868
6.119999886,-2.570050477
6.135000229,-2.539663803
6.150000095,-2.510806406
6.164999962,-2.483157055
6.179999828,-2.456418955
6.195000172,-2.430324314
6.210000038,-2.404642152
6.224999905,-2.37918574
6.239999771,-2.353811637
6.255000114,-2.328430242
6.269999981,-2.302994832
6.284999847,-2.277510953
6.300000191,-2.252020343
6.315000057,-2.226605294
6.329999924,-2.20137456
6.34499979,-2.176460016
6.360000134,-2.151999591
6.375,-2.128138146
6.389999866,-2.105012689
6.40500021,-2.082743368
6.420000076,-2.061429627
6.434999943,-2.041143912
6.449999809,-2.021923351
6.465000153,-2.003772424
6.480000019,-1.986661748
6.494999886,-1.97052523
6.510000229,-1.955269689
6.525000095,-1.940772319
6.539999962,-1.926891206
6.554999828,-1.913472205
6.570000172,-1.900355764
6.585000038,-1.887384196
6.599999905,-1.874411852
6.614999771,-1.861312955
6.630000114,-1.847984899
6.644999981,-1.834356091
6.659999847,-1.820393276
6.675000191,-1.806097502
6.690000057,-1.79150342
6.704999924,-1.776686889
6.71999979,-1.761749523
6.735000134,-1.746823414
6.75,-1.732055339
6.764999866,-1.717605681
6.78000021,-1.703637335
6.795000076,-1.690310404
6.809999943,-1.677768675
6.824999809,-1.666135785
6.840000153,-1.655512139
6.855000019,-1.645962237
6.869999886,-1.637515531
6.885000229,-1.630167229
6.900000095,-1.623870027
6.914999962,-1.618544097
6.929999828,-1.614077135
6.945000172,-1.610326593
6.960000038,-1.607131109
6.974999905,-1.604312619
6.989999771,-1.601690619
7.005000114,-1.599085223
7.019999981,-1.596330212
7.034999847,-1.593275543
7.050000191,-1.589800739
7.065000057,-1.585817923
7.079999924,-1.581274203
7.09499979,-1.576158106
7.110000134,-1.570495769
7.125,-1.564351279
7.139999866,-1.557823807
7.15500021,-1.551039837
7.170000076,-1.544148665
7.184999943,-1.537310985
7.199999809,-1.530696432
7.215000153,-1.524466678
7.230000019,-1.518776535
7.244999886,-1.513755011
7.260000229,-1.50951097
7.275000095,-1.506118255
7.289999962,-1.503613074
7.304999828,-1.501999346
7.320000172,-1.501237384
7.335000038,-1.501251777
7.349999905,-1.501937183
7.364999771,-1.503160576
7.380000114,-1.504760972
7.394999981,-1.506569447
7.409999847,-1.508410591
7.425000191,-1.510110409
7.440000057,-1.511511312
7.454999924,-1.512471502
7.46999979,-1.512878637
7.485000134,-1.512657516
7.5,-1.511763856
7.514999866,-1.51020052
7.53000021,-1.50800567
7.545000076,-1.505258325
7.559999943,-1.502070381
7.574999809,-1.498583373
7.590000153,-1.494960226
7.605000019,-1.491374403
7.619999886,-1.488006086
7.635000229,-1.485030203
7.650000095,-1.482609161
7.664999962,-1.480881702
7.679999828,-1.479962485
7.695000172,-1.479924955
7.710000038,-1.480814926
7.724999905,-1.482629417
7.739999771,-1.485334047
7.755000114,-1.488848623
7.769999981,-1.493064382
7.784999847,-1.497841049
7.800000191,-1.503014746
7.815000057,-1.508413019
7.829999924,-1.513852091
7.84499979,-1.51915459
7.860000134,-1.524158167
7.875,-1.528715402
7.889999866,-1.532716301
7.90500021,-1.536078525
7.920000076,-1.538763843
7.934999943,-1.540772622
7.949999809,-1.542147881
7.965000153,-1.542970556
7.980000019,-1.543358805
7.994999886,-1.543455433
8.010000229,-1.543430628
8.024999619,-1.543462225
8.039999962,-1.543735283
8.055000305,-1.544427857
8.069999695,-1.545701093
8.085000038,-1.547700183
8.100000381,-1.550532618
8.114999771,-1.55427593
8.130000114,-1.558967825
8.145000458,-1.564602147
8.159999847,-1.571133454
8.175000191,-1.578475028
8.18999958,-1.586507466
8.204999924,-1.595078978
8.220000267,-1.604017791
8.234999657,-1.613136597
8.25,-1.62224302
8.265000343,-1.631150383
8.279999733,-1.63968489
8.295000076,-1.647696893
8.31000042,-1.655068457
8.324999809,-1.661716368
8.340000153,-1.667600893
8.354999542,-1.672723856
8.369999886,-1.677133981
8.385000229,-1.68091756
8.399999619,-1.684198157
8.414999962,-1.687131293
8.430000305,-1.689893095
8.444999695,-1.692672122
8.460000038,-1.695663753
8.475000381,-1.699052605
8.489999771,-1.703013575
8.505000114,-1.707692777
8.520000458,-1.713203253
8.534999847,-1.719625129
8.550000191,-1.726996505
8.56499958,-1.735308362
8.579999924,-1.744512109
8.595000267,-1.754516146
8.609999657,-1.765191192
8.625,-1.776377442
8.640000343,-1.787891243
8.654999733,-1.79953375
8.670000076,-1.811103623
8.68500042,-1.822400907
8.699999809,-1.833241317
8.715000153,-1.843465917
8.729999542,-1.852948704
8.744999886,-1.861599633
8.760000229,-1.86937246
8.774999619,-1.876268316
8.789999962,-1.88233199
8.805000305,-1.887651005
8.819999695,-1.892352332
8.835000038,-1.896594109
8.850000381,-1.900555137
8.864999771,-1.90443294
8.880000114,-1.908420366
8.895000458,-1.912712445
8.909999847,-1.917482546
8.925000191,-1.922880273
8.93999958,-1.92902106
8.954999924,-1.935980578
8.970000267,-1.943793721
8.984999657,-1.952447569
9,-1.961884447
9.015000343,-1.972002152
9.029999733,-1.982665218
9.045000076,-1.993695601
9.06000042,-2.004901795
9.074999809,-2.016068525
9.090000153,-2.026980783
9.104999542,-2.037426482
9.119999886,-2.047207519
9.135000229,-2.056156438
9.149999619,-2.064132823
9.164999962,-2.071041652
9.180000305,-2.076832491
9.194999695,-2.081501941
9.210000038,-2.085092721
9.225000381,-2.087697309
9.239999771,-2.089443837
9.255000114,-2.090497125
9.270000458,-2.091044213
9.284999847,-2.091286111
9.300000191,-2.091433787
9.31499958,-2.091684591
9.329999924,-2.092222272
9.345000267,-2.093207978
9.359999657,-2.094765249
9.375,-2.096976743
