,BGL,FREQ,S11,S11_Scaled,S11_Derivative,S11_Mean,S11_Std,S11_Min,S11_Max
70,100,1.065000057,-1.272058629,0.9869706510599491,6.272545625513982,-6.349324396611999,5.586062025228471,-17.52089902,-0.719464768
10073,100,1.07250005,-1.2281302115,0.9880064184116819,6.064837536659514,,,,
71,100,1.080000043,-1.184201794,0.9890421857634146,5.857127799985915,-6.349324396611999,5.586062025228471,-17.52089902,-0.719464768
10074,100,1.087500036,-1.1435739225,0.9900001311041521,5.63709119461842,,,,
72,100,1.095000029,-1.102946051,0.9909580764448894,5.417054589251006,-6.349324396611999,5.586062025228471,-17.52089902,-0.719464768
10075,100,1.1025000215,-1.0658005535,0.9918339125383333,5.184896278733056,,,,
73,100,1.110000014,-1.028655056,0.9927097486317772,4.952737952737949,-6.349324396611999,5.586062025228471,-17.52089902,-0.719464768
10076,100,1.1175000069999999,-0.9951637245,0.9934994248757201,4.709126485488988,,,,
74,100,1.125,-0.961672393,0.9942891011196631,4.465515034480683,-6.349324396611999,5.586062025228471,-17.52089902,-0.719464768
10077,100,1.1324999930000001,-0.931994787,0.9949888553362221,4.211266430515249,,,,
75,100,1.139999986,-0.902317181,0.995688609552781,3.957017826549947,-6.349324396611999,5.586062025228471,-17.52089902,-0.719464768
10078,100,1.1474999785,-0.8765982915,0.9962950230678348,3.693103269999876,,,,
76,100,1.154999971,-0.850879402,0.9969014365828884,3.4291886958553652,-6.349324396611999,5.586062025228471,-17.52089902,-0.719464768
10079,100,1.162499964,-0.8292452895,0.9974115370756097,3.1568698516408515,,,,
77,100,1.169999957,-0.807611177,0.9979216375683309,2.8845510255809885,-6.349324396611999,5.586062025228471,-17.52089902,-0.719464768
10080,100,1.17749995,-0.790168456,0.9983329112259167,2.6051246647830086,,,,
78,100,1.184999943,-0.772725735,0.9987441848835026,2.325698303985071,-6.349324396611999,5.586062025228471,-17.52089902,-0.719464768
10081,100,1.1924999955,-0.7595552605,0.999054725264201,2.0408735093503676,,,,
79,100,1.200000048,-0.746384786,0.9993652656448994,1.7560509743098511,-6.349324396611999,5.586062025228471,-17.52089902,-0.719464768
10082,100,1.2075000404999998,-0.7375418905,0.9995737680898984,1.4675535973392246,,,,
80,100,1.215000033,-0.728698995,0.9997822705348973,1.1790539123872465,-6.349324396611999,5.586062025228471,-17.52089902,-0.719464768
10083,100,1.222500026,-0.724212414,0.9998880575034514,0.8886326256781855,,,,
81,100,1.230000019,-0.719725833,0.9999938444720056,0.5982113583305967,-6.349324396611999,5.586062025228471,-17.52089902,-0.719464768
10084,100,1.237500012,-0.7195953005,0.9999969222360028,0.3078078539540032,,,,
82,100,1.245000005,-0.719464768,1.0000000000000002,0.017404349577393168,-6.349324396611999,5.586062025228471,-17.52089902,-0.719464768
10085,100,1.2524999975000002,-0.723660645,0.9999010674033846,-0.2710232286557876,,,,
83,100,1.25999999,-0.727856522,0.999802134806769,-0.5594508261174875,-6.349324396611999,5.586062025228471,-17.52089902,-0.719464768
10086,100,1.267499983,-0.7363237755,0.999602489446584,-0.8442095160692099,,,,
84,100,1.274999976,-0.744791029,0.999402844086399,-1.128968187036992,-6.349324396611999,5.586062025228471,-17.52089902,-0.719464768
10087,100,1.2824999689999999,-0.757445157,0.9991044783952824,-1.4080934142205324,,,,
85,100,1.289999962,-0.770099285,0.9988061127041657,-1.6872186414040549,-6.349324396611999,5.586062025228471,-17.52089902,-0.719464768
10088,100,1.2974999550000001,-0.786830736,0.9984116097450525,-1.9590404284376903,,,,
86,100,1.304999948,-0.803562187,0.9980171067859391,-2.230862215471391,-6.349324396611999,5.586062025228471,-17.52089902,-0.719464768
10089,100,1.3125,-0.824240264,0.997529548201494,-2.493961051450202,,,,
87,100,1.320000052,-0.844918341,0.9970419896170488,-2.7570578177324867,-6.349324396611999,5.586062025228471,-17.52089902,-0.719464768
10090,100,1.3275000449999999,-0.869389076,0.9964650057458246,-3.0099117702647256,,,,
88,100,1.335000038,-0.893859811,0.9958880218746003,-3.2627677119165175,-6.349324396611999,5.586062025228471,-17.52089902,-0.719464768
10091,100,1.3425000310000001,-0.9219558415,0.9952255588777217,-3.504454304157277,,,,
89,100,1.350000024,-0.950051872,0.994563095880843,-3.746140896398148,-6.349324396611999,5.586062025228471,-17.52089902,-0.719464768
10092,100,1.357500017,-0.9815896005,0.9938194827168106,-3.9755876438818403,,,,
90,100,1.36500001,-1.013127329,0.9930758695527783,-4.205034391365476,-6.349324396611999,5.586062025228471,-17.52089902,-0.719464768
10093,100,1.3725000024999998,-1.0479143265,0.9922556434138488,-4.421652674264303,,,,
91,100,1.379999995,-1.082701324,0.9914354172749192,-4.63827097160431,-6.349324396611999,5.586062025228471,-17.52089902,-0.719464768
10094,100,1.387499988,-1.1205372195,0.9905433026140058,-4.841530880146443,,,,
92,100,1.394999981,-1.158373115,0.9896511879530925,-5.04479077513803,-6.349324396611999,5.586062025228471,-17.52089902,-0.719464768
10095,100,1.402499974,-1.1990546275,0.9886919778366204,-5.234498752198883,,,,
93,100,1.409999967,-1.23973614,0.9877327677201484,-5.4242067292595815,-6.349324396611999,5.586062025228471,-17.52089902,-0.719464768
10096,100,1.4174999595000002,-1.28306045,0.9867112443330529,-5.600393580380365,,,,
94,100,1.424999952,-1.32638476,0.9856897209459573,-5.776580443247116,-6.349324396611999,5.586062025228471,-17.52089902,-0.719464768
10097,100,1.4325000045,-1.3721497495000001,0.9846106499328371,-5.939268815526953,,,,
95,100,1.440000057,-1.417914739,0.9835315789197169,-6.1019558863088195,-6.349324396611999,5.586062025228471,-17.52089902,-0.719464768
10098,100,1.44750005,-1.4659249055,0.9823995699414296,-6.251658103303797,,,,
96,100,1.455000043,-1.513935072,0.9812675609631423,-6.401361507937375,-6.349324396611999,5.586062025228471,-17.52089902,-0.719464768
10099,100,1.462500036,-1.5640020515000002,0.9800870553652347,-6.53848250258364,,,,
97,100,1.470000029,-1.614069031,0.978906549767327,-6.675603497230003,-6.349324396611999,5.586062025228471,-17.52089902,-0.719464768
10100,100,1.4775000215,-1.6660116535,0.977681819271427,-6.800646707291793,,,,
98,100,1.485000014,-1.717954276,0.976457088775527,-6.925689925689919,-6.349324396611999,5.586062025228471,-17.52089902,-0.719464768
10101,100,1.4925000069999999,-1.7716040655,0.9751921057974483,-7.03950093818433,,,,
99,100,1.5,-1.825253855,0.9739271228193696,-7.153311943091109,-6.349324396611999,5.586062025228471,-17.52089902,-0.719464768
10102,100,1.5074999930000001,-1.8804544994999999,0.9726255729657309,-7.256702372922059,,,,
100,100,1.514999986,-1.935655144,0.9713240231120922,-7.360092802753253,-6.349324396611999,5.586062025228471,-17.52089902,-0.719464768
10103,100,1.5224999785,-1.9922625905,0.9699893029403569,-7.453879938750708,,,,
101,100,1.529999971,-2.048870037,0.9686545827686216,-7.547667081000409,-6.349324396611999,5.586062025228471,-17.52089902,-0.719464768
10104,100,1.537499964,-2.1067530805,0.9672897858993461,-7.632706711616462,,,,
102,100,1.544999957,-2.164636124,0.9659249890300707,-7.717746336563316,-6.349324396611999,5.586062025228471,-17.52089902,-0.719464768
10105,100,1.55249995,-2.22367732,0.9645328846314988,-7.794956575292784,,,,
103,100,1.559999943,-2.282718516,0.9631407802329268,-7.872166814022337,-6.349324396611999,5.586062025228471,-17.52089902,-0.719464768
10106,100,1.5674999955,-2.3428157445,0.9617237761441744,-7.942537540969517,,,,
104,100,1.575000048,-2.402912973,0.960306772055422,-8.012907709646054,-6.349324396611999,5.586062025228471,-17.52089902,-0.719464768
10107,100,1.5825000404999998,-2.4639777105,0.9588669555301709,-8.077440167679567,,,,
105,100,1.590000033,-2.525042448,0.9574271390049198,-8.141973141973171,-6.349324396611999,5.586062025228471,-17.52089902,-0.719464768
10108,100,1.597500026,-2.586999424,0.9559662848106414,-8.201455494740172,,,,
106,100,1.605000019,-2.6489564,0.954505430616363,-8.260937843541923,-6.349324396611999,5.586062025228471,-17.52089902,-0.719464768
10109,100,1.612500012,-2.7117437300000002,0.9530249978983741,-8.316294828541933,,,,
107,100,1.620000005,-2.77453106,0.9515445651803854,-8.37165181354167,-6.349324396611999,5.586062025228471,-17.52089902,-0.719464768
10110,100,1.6274999975000002,-2.8381016920000004,0.9500456633555104,-8.423872276409734,,,,
108,100,1.63499999,-2.901672324,0.9485467615306356,-8.476092742759414,-6.349324396611999,5.586062025228471,-17.52089902,-0.719464768
10111,100,1.642499983,-2.9659897935000004,0.9470302503780504,-8.525881675019056,,,,
