,BGL,FREQ,S11,S11_Scaled,S11_Derivative,S11_Mean,S11_Std,S11_Min,S11_Max
41,100,0.629999995,-5.279131208,0.8924897844693934,9.991810458477111,-6.349324396611999,5.586062025228471,-17.52089902,-0.719464768
10044,100,0.6374999880000001,-5.203357039,0.8942764277135958,10.047521212603762,,,,
42,100,0.644999981,-5.12758287,0.8960630709577982,10.103231963016492,-6.349324396611999,5.586062025228471,-17.52089902,-0.719464768
10045,100,0.6525000034999999,-5.051157943,0.8978650581166837,10.146595915184346,,,,
43,100,0.660000026,-4.974733016,0.8996670452755692,10.189959696787621,-6.349324396611999,5.586062025228471,-17.52089902,-0.719464768
10046,100,0.667500019,-4.897828689000001,0.9014803359800108,10.221939703995528,,,,
44,100,0.675000012,-4.820924362,0.9032936266844523,10.253919836991773,-6.349324396611999,5.586062025228471,-17.52089902,-0.719464768
10047,100,0.6825000050000001,-4.743699233,0.9051144814273201,10.275306656952868,,,,
45,100,0.689999998,-4.666474104,0.9069353361701878,10.29669347691398,-6.349324396611999,5.586062025228471,-17.52089902,-0.719464768
10048,100,0.6974999905,-4.5890740215,0.9087603160587742,10.308357398078869,,,,
46,100,0.704999983,-4.511673939,0.9105852959473604,10.320021320021334,-6.349324396611999,5.586062025228471,-17.52089902,-0.719464768
10049,100,0.712500006,-4.4342308715,0.9124112893589039,10.322865999705192,,,,
47,100,0.720000029,-4.356787804,0.9142372827704476,10.325710667820584,-6.349324396611999,5.586062025228471,-17.52089902,-0.719464768
10050,100,0.7275000215,-4.2794272235,0.9160613312600839,10.32023253575964,,,,
48,100,0.735000014,-4.202066643,0.9178853797497204,10.314754381421015,-6.349324396611999,5.586062025228471,-17.52089902,-0.719464768
10051,100,0.7425000070000001,-4.1249021265,0.9197048053391567,10.30168309162694,,,,
49,100,0.75,-4.04773761,0.921524230928593,10.28861180270436,-6.349324396611999,5.586062025228471,-17.52089902,-0.719464768
10052,100,0.7574999929999999,-3.9708755840000003,0.9233365242377893,10.26844575054947,,,,
50,100,0.764999986,-3.894013558,0.9251488175469857,10.248279698394427,-6.349324396611999,5.586062025228471,-17.52089902,-0.719464768
10053,100,0.7724999785,-3.8175555555000003,0.9269515845774211,10.221345113966922,,,,
51,100,0.779999971,-3.741097553,0.9287543516078565,10.194410527743882,-6.349324396611999,5.586062025228471,-17.52089902,-0.719464768
10054,100,0.787499994,-3.665141492,0.9305452835973829,10.160927067041992,,,,
52,100,0.795000017,-3.589185431,0.9323362155869093,10.127443742505806,-6.349324396611999,5.586062025228471,-17.52089902,-0.719464768
10055,100,0.8025000095,-3.5138231165000002,0.9341131479089104,10.087881275856027,,,,
53,100,0.810000002,-3.438460802,0.9358900802309118,10.048318648318679,-6.349324396611999,5.586062025228471,-17.52089902,-0.719464768
10056,100,0.8174999949999999,-3.363788443,0.9376507444189415,10.002321235577273,,,,
54,100,0.824999988,-3.289116084,0.9394114086069711,9.956323825902233,-6.349324396611999,5.586062025228471,-17.52089902,-0.719464768
10057,100,0.832499981,-3.2152264275,0.9411536178234412,9.904143610533959,,,,
55,100,0.839999974,-3.141336771,0.9428958270399114,9.851963395165788,-6.349324396611999,5.586062025228471,-17.52089902,-0.719464768
10058,100,0.8474999965000001,-3.0683260295,0.9446173127358506,9.793349746871886,,,,
56,100,0.855000019,-2.995315288,0.9463387984317899,9.734736329124383,-6.349324396611999,5.586062025228471,-17.52089902,-0.719464768
10059,100,0.8625000119999999,-2.923283594,0.9480371996304037,9.66948570819821,,,,
57,100,0.870000005,-2.8512519,0.9497356008290174,9.604234830619209,-6.349324396611999,5.586062025228471,-17.52089902,-0.719464768
10060,100,0.8774999975,-2.780303805,0.9514084523600026,9.531995147595286,,,,
58,100,0.88499999,-2.70935571,0.9530813038909878,9.459755459755447,-6.349324396611999,5.586062025228471,-17.52089902,-0.719464768
10061,100,0.892499983,-2.639602407,0.9547259839872586,9.380102267432171,,,,
59,100,0.899999976,-2.569849104,0.9563706640835293,9.300449080419085,-6.349324396611999,5.586062025228471,-17.52089902,-0.719464768
10062,100,0.9074999985000001,-2.501407005,0.9579844279216703,9.2130172798821,,,,
60,100,0.915000021,-2.432964906,0.9595981917598113,9.125585823242565,-6.349324396611999,5.586062025228471,-17.52089902,-0.719464768
10063,100,0.9225000139999999,-2.365961197,0.9611780404813639,9.02971120263185,,,,
61,100,0.930000007,-2.298957488,0.9627578892029164,8.933836204913808,-6.349324396611999,5.586062025228471,-17.52089902,-0.719464768
10064,100,0.9375,-2.2335249675,0.9643006916149424,8.829090207150793,,,,
62,100,0.944999993,-2.168092447,0.9658434940269683,8.724344209387905,-6.349324396611999,5.586062025228471,-17.52089902,-0.719464768
10065,100,0.9524999860000001,-2.104373466,0.9673458937026561,8.610108136100882,,,,
63,100,0.959999979,-2.040654485,0.968848293378344,8.495872062813923,-6.349324396611999,5.586062025228471,-17.52089902,-0.719464768
10066,100,0.9675000014999999,-1.9788020345000001,0.9703066830153612,8.3714201161993,,,,
64,100,0.975000024,-1.916949584,0.9717650726523784,8.246968659094057,-6.349324396611999,5.586062025228471,-17.52089902,-0.719464768
10067,100,0.982500017,-1.8571230555,0.9731756940340344,8.1119235510123,,,,
65,100,0.99000001,-1.797296527,0.9745863154156903,7.976877911752666,-6.349324396611999,5.586062025228471,-17.52089902,-0.719464768
10068,100,0.9975000025,-1.7396649595,0.9759451828514608,7.830547302862375,,,,
66,100,1.004999995,-1.682033392,0.9773040502872313,7.684216684216756,-6.349324396611999,5.586062025228471,-17.52089902,-0.719464768
10069,100,1.012499988,-1.6267709995,0.9786070560677183,7.526271275395554,,,,
67,100,1.019999981,-1.571508607,0.9799100618482051,7.368325877104112,-6.349324396611999,5.586062025228471,-17.52089902,-0.719464768
10070,100,1.027499974,-1.5187994169999999,0.9811528668761412,7.198112218238144,,,,
68,100,1.034999967,-1.466090227,0.9823956719040774,7.027898559371948,-6.349324396611999,5.586062025228471,-17.52089902,-0.719464768
10071,100,1.0424999595000002,-1.4161188495,0.9835739233477041,6.845377783865058,,,,
69,100,1.049999952,-1.366147472,0.9847521747913308,6.662856996190336,-6.349324396611999,5.586062025228471,-17.52089902,-0.719464768
10072,100,1.0575000045,-1.3191030504999999,0.98586141292564,6.467700530231823,,,,
