FREQ,S11
6.855000019,-1.60780995
6.869999886,-1.601827038
6.885000229,-1.596661184
6.900000095,-1.592183249
6.914999962,-1.588244703
6.929999828,-1.584686527
6.945000172,-1.581347388
6.960000038,-1.578067998
6.974999905,-1.574702367
6.989999771,-1.571126902
7.005000114,-1.567236826
7.019999981,-1.562963271
7.034999847,-1.55826929
7.050000191,-1.553150613
7.065000057,-1.547642586
7.079999924,-1.541809085
7.09499979,-1.535745667
7.110000134,-1.529570696
7.125,-1.523419118
7.139999866,-1.517436394
7.15500021,-1.511771381
7.170000076,-1.506564751
7.184999943,-1.501946591
7.199999809,-1.498022024
7.215000153,-1.494876016
7.230000019,-1.492561091
7.244999886,-1.491095388
7.260000229,-1.490464187
7.275000095,-1.490617207
7.289999962,-1.491475517
7.304999828,-1.492924377
7.320000172,-1.494834855
7.335000038,-1.497056498
7.349999905,-1.499427849
7.364999771,-1.50179133
7.380000114,-1.503991968
7.394999981,-1.505890813
7.409999847,-1.507370892
7.425000191,-1.508341372
7.440000057,-1.50874862
7.454999924,-1.508566808
7.46999979,-1.507815513
7.485000134,-1.506545014
7.5,-1.504839431
7.514999866,-1.502814374
7.53000021,-1.500603582
7.545000076,-1.498360675
7.559999943,-1.496246385
7.574999809,-1.494420203
7.590000153,-1.493031533
7.605000019,-1.492216951
7.619999886,-1.492088905
7.635000229,-1.492728794
7.650000095,-1.494186779
7.664999962,-1.496477203
7.679999828,-1.49957841
7.695000172,-1.503429372
7.710000038,-1.507940321
7.724999905,-1.512992884
7.739999771,-1.518441178
7.755000114,-1.524127639
7.769999981,-1.529886835
7.784999847,-1.53555106
7.800000191,-1.540966678
7.815000057,-1.545989449
7.829999924,-1.550509809
7.84499979,-1.554440819
7.860000134,-1.557733237
7.875,-1.560377747
7.889999866,-1.562400841
7.90500021,-1.563866536
7.920000076,-1.564872588
7.934999943,-1.565545668
7.949999809,-1.566036789
7.965000153,-1.566504722
7.980000019,-1.567121201
7.994999886,-1.568050805
8.010000229,-1.569448406
8.024999619,-1.571447298
8.039999962,-1.574158196
8.055000305,-1.577656891
8.069999695,-1.581986722
8.085000038,-1.587147407
8.100000381,-1.593105653
8.114999771,-1.599787194
8.130000114,-1.607087048
8.145000458,-1.614870252
8.159999847,-1.622979159
8.175000191,-1.631241945
8.18999958,-1.639483375
8.204999924,-1.647528937
8.220000267,-1.65521704
8.234999657,-1.662404954
8.25,-1.668981737
8.265000343,-1.674868782
8.279999733,-1.680021584
8.295000076,-1.684443953
8.31000042,-1.688173301
8.324999809,-1.691286228
8.340000153,-1.693898629
8.354999542,-1.696150052
8.369999886,-1.698201851
8.385000229,-1.700231315
8.399999619,-1.702415688
8.414999962,-1.704929543
8.430000305,-1.707928933
8.444999695,-1.711552807
8.460000038,-1.715908311
8.475000381,-1.721066997
8.489999771,-1.727063613
8.505000114,-1.733890986
8.520000458,-1.741501264
8.534999847,-1.749809065
8.550000191,-1.758694474
8.56499958,-1.768008362
8.579999924,-1.777582002
8.595000267,-1.787230118
8.609999657,-1.796767833
8.625,-1.806011222
8.640000343,-1.814793836
8.654999733,-1.822973839
8.670000076,-1.830435776
8.68500042,-1.837105552
8.699999809,-1.842946993
8.715000153,-1.847967329
8.729999542,-1.852214642
8.744999886,-1.855779435
8.760000229,-1.858784383
8.774999619,-1.86137974
8.789999962,-1.863739294
8.805000305,-1.866046593
8.819999695,-1.868486014
8.835000038,-1.871236266
8.850000381,-1.874456995
8.864999771,-1.878282033
8.880000114,-1.882818061
8.895000458,-1.888130204
8.909999847,-1.894243018
8.925000191,-1.901138962
8.93999958,-1.908758658
8.954999924,-1.917006828
8.970000267,-1.925745914
8.984999657,-1.934818275
9,-1.944037284
9.015000343,-1.953212188
9.029999733,-1.9621446
9.045000076,-1.970645258
9.06000042,-1.978543875
9.074999809,-1.985694048
