iter	Passed	Remaining
721	440	475
722	441	474
723	441	473
724	442	472
725	442	472
726	443	471
727	443	470
728	444	470
729	444	469
730	445	468
731	446	467
732	446	467
733	447	466
734	447	465
735	448	465
736	448	464
737	448	463
738	449	462
739	449	462
740	450	461
741	450	460
742	451	459
743	452	459
744	452	458
745	453	457
746	453	457
747	454	456
748	454	455
749	455	455
750	455	454
751	455	453
752	456	452
753	457	452
754	457	451
755	458	450
756	458	450
757	459	449
758	459	448
759	460	448
760	460	447
761	461	446
762	461	446
763	462	445
764	462	444
765	463	444
766	463	443
767	464	442
768	464	441
769	465	441
770	465	440
771	466	439
772	466	439
773	467	438
774	467	437
775	468	437
776	469	436
777	469	435
778	470	435
779	470	434
780	471	433
781	471	432
782	472	432
783	472	431
784	473	430
785	473	430
786	474	429
787	474	428
788	475	428
789	475	427
790	476	426
791	476	426
792	477	425
793	477	424
794	478	424
795	478	423
796	479	422
797	480	422
798	480	421
799	481	420
800	481	420
801	482	419
802	482	419
803	483	418
804	483	417
805	484	416
806	484	416
807	485	415
808	485	414
809	486	414
810	486	413
811	487	412
812	487	412
813	488	411
814	488	410
815	489	410
816	489	409
817	490	408
818	490	408
819	491	407
820	491	406
821	492	406
822	492	405
823	493	404
824	493	404
825	494	403
826	494	402
827	495	402
828	496	401
829	496	400
830	497	400
831	497	399
832	497	398
833	498	398
834	498	397
835	499	396
836	499	395
837	500	395
838	500	394
839	501	393
840	501	393
841	502	392
842	502	391
843	503	391
844	503	390
845	504	389
846	504	389
847	505	388
848	505	387
849	506	387
850	506	386
851	507	385
852	507	385
853	508	384
854	508	383
855	509	383
856	509	382
857	510	381
858	511	381
859	511	380
860	512	380
861	512	379
862	513	378
863	513	378
864	514	377
865	514	376
866	515	376
867	515	375
868	516	375
869	517	374
870	517	373
871	518	373
872	518	372
873	519	371
874	519	371
875	520	370
876	520	369
877	521	369
878	521	368
879	522	367
880	522	367
881	523	366
882	523	365
883	524	365
884	524	364
885	525	363
886	525	363
887	526	362
888	526	361
889	527	361
890	527	360
891	528	360
892	528	359
893	529	358
894	529	358
895	530	357
896	530	356
897	531	356
898	531	355
899	532	354
900	532	354
901	533	353
902	533	352
903	534	352
904	534	351
905	535	350
906	535	350
907	536	349
908	536	349
909	537	348
910	537	347
911	538	347
912	538	346
913	539	345
914	540	345
915	540	344
916	541	343
917	541	343
918	542	342
919	542	342
920	543	341
921	543	340
922	544	340
923	544	339
924	545	338
925	545	338
926	545	337
927	546	336
928	546	336
929	547	335
930	548	334
931	548	334
932	549	333
933	549	333
934	550	332
935	550	331
936	551	331
937	551	330
938	552	330
939	553	329
940	553	328
941	554	328
942	554	327
943	555	326
944	555	326
945	556	325
946	556	324
947	556	324
948	557	323
949	558	323
950	558	322
951	559	321
952	559	321
953	560	320
954	560	319
955	561	319
956	561	318
957	562	318
958	562	317
959	563	316
960	563	316
961	564	315
962	564	314
963	565	314
964	565	313
965	566	313
966	566	312
967	567	311
968	567	311
969	568	310
970	568	309
971	569	309
972	569	308
973	570	307
974	570	307
975	571	306
976	571	306
977	572	305
978	572	304
979	573	304
980	573	303
981	574	302
982	574	302
983	575	301
984	575	301
985	576	300
986	576	299
987	577	299
988	577	298
989	578	298
990	578	297
991	579	296
992	580	296
993	580	295
994	581	294
995	581	294
996	582	293
997	582	293
998	583	292
999	583	291
1000	584	291
1001	584	290
1002	585	290
1003	585	289
1004	586	288
1005	587	288
1006	587	287
1007	588	287
1008	588	286
1009	589	285
1010	589	285
1011	590	284
1012	590	284
1013	591	283
1014	592	282
1015	592	282
1016	593	281
1017	593	281
1018	594	280
1019	594	279
1020	595	279
1021	595	278
1022	596	278
1023	596	277
1024	597	276
1025	597	276
1026	598	275
1027	599	275
1028	599	274
1029	600	273
1030	600	273
1031	601	272
1032	601	272
1033	602	271
1034	602	270
1035	603	270
1036	603	269
1037	604	269
1038	604	268
1039	605	267
1040	605	267
1041	606	266
1042	606	265
1043	607	265
1044	607	264
1045	608	264
1046	608	263
1047	609	262
1048	609	262
1049	610	261
1050	611	261
1051	611	260
1052	612	259
1053	612	259
1054	613	258
1055	613	258
1056	614	257
1057	614	256
1058	615	256
1059	615	255
1060	616	254
1061	616	254
1062	617	253
1063	617	253
1064	618	252
1065	618	251
1066	619	251
1067	619	250
1068	620	250
1069	620	249
1070	621	248
1071	621	248
1072	622	247
1073	623	247
1074	623	246
1075	624	245
1076	624	245
1077	625	244
1078	625	244
1079	626	243
1080	626	242
1081	627	242
1082	627	241
1083	628	241
1084	628	240
1085	629	239
1086	629	239
1087	630	238
1088	630	238
1089	631	237
1090	631	236
1091	632	236
1092	632	235
1093	633	235
1094	633	234
1095	634	233
1096	634	233
1097	635	232
1098	635	231
1099	636	231
1100	636	230
1101	637	230
1102	637	229
1103	638	229
1104	638	228
1105	639	227
1106	639	227
1107	640	226
1108	641	226
1109	641	225
1110	642	224
1111	642	224
1112	643	223
1113	643	223
1114	644	222
1115	644	221
1116	645	221
1117	645	220
1118	646	220
1119	646	219
1120	647	218
1121	647	218
1122	648	217
1123	648	217
1124	649	216
1125	649	215
1126	650	215
1127	650	214
1128	651	214
1129	651	213
1130	652	212
1131	652	212
1132	653	211
1133	653	211
1134	654	210
1135	654	209
1136	655	209
1137	656	208
1138	656	208
1139	657	207
1140	657	206
1141	658	206
1142	658	205
1143	659	205
1144	659	204
1145	660	203
1146	660	203
1147	661	202
1148	661	202
1149	662	201
1150	662	201
1151	663	200
1152	663	199
1153	664	199
1154	664	198
1155	665	198
1156	665	197
1157	666	196
1158	667	196
1159	667	195
1160	668	195
1161	668	194
1162	668	193
1163	669	193
1164	669	192
1165	670	192
1166	670	191
1167	671	190
1168	671	190
1169	672	189
1170	673	189
1171	673	188
1172	674	187
1173	674	187
1174	675	186
1175	675	186
1176	676	185
1177	676	185
1178	677	184
1179	678	183
1180	678	183
1181	679	182
1182	679	182
1183	680	181
1184	680	180
1185	681	180
1186	681	179
1187	682	179
1188	682	178
1189	683	177
1190	683	177
1191	684	176
1192	684	176
1193	685	175
1194	685	175
1195	686	174
1196	686	173
1197	687	173
1198	688	172
1199	688	172
1200	689	171
1201	689	171
1202	690	170
1203	690	169
1204	691	169
1205	691	168
1206	692	168
1207	692	167
1208	693	166
1209	693	166
1210	694	165
1211	694	165
1212	695	164
1213	696	163
1214	696	163
1215	697	162
1216	697	162
1217	698	161
1218	698	161
1219	699	160
1220	699	159
1221	700	159
1222	700	158
1223	701	158
1224	701	157
1225	702	156
1226	702	156
1227	703	155
1228	703	155
1229	704	154
1230	704	154
1231	705	153
1232	705	152
1233	706	152
1234	706	151
1235	707	151
1236	708	150
1237	708	149
1238	709	149
1239	709	148
1240	710	148
1241	710	147
1242	711	147
1243	711	146
1244	712	145
1245	712	145
1246	713	144
1247	713	144
1248	714	143
1249	714	142
1250	715	142
1251	715	141
1252	716	141
1253	716	140
1254	717	140
1255	717	139
1256	718	138
1257	718	138
1258	719	137
1259	719	137
1260	720	136
1261	720	135
1262	721	135
1263	721	134
1264	723	134
1265	723	133
1266	724	133
1267	724	132
1268	725	132
1269	725	131
1270	726	130
1271	726	130
1272	727	129
1273	727	129
1274	728	128
1275	729	127
1276	729	127
1277	729	126
1278	730	126
1279	731	125
1280	731	125
1281	732	124
1282	732	123
1283	733	123
1284	733	122
1285	733	122
1286	734	121
1287	735	120
1288	735	120
1289	736	119
1290	736	119
1291	737	118
1292	737	118
1293	738	117
1294	738	116
1295	739	116
1296	739	115
1297	740	115
1298	740	114
1299	741	114
1300	741	113
1301	742	112
1302	742	112
1303	743	111
1304	743	111
1305	744	110
1306	744	109
1307	745	109
1308	745	108
1309	746	108
1310	746	107
1311	747	107
1312	747	106
1313	748	105
1314	748	105
1315	749	104
1316	749	104
1317	750	103
1318	750	103
1319	751	102
1320	751	101
1321	752	101
1322	752	100
1323	753	100
1324	753	99
1325	754	99
1326	755	98
1327	755	97
1328	756	97
1329	756	96
1330	757	96
1331	757	95
1332	758	94
1333	758	94
1334	759	93
1335	759	93
1336	760	92
1337	760	92
1338	761	91
1339	761	90
1340	762	90
1341	762	89
1342	763	89
1343	763	88
1344	764	88
1345	764	87
1346	765	86
1347	765	86
1348	766	85
1349	766	85
1350	767	84
1351	767	84
1352	768	83
1353	768	82
1354	769	82
1355	769	81
1356	770	81
1357	770	80
1358	771	80
1359	771	79
1360	772	78
1361	772	78
1362	773	77
1363	773	77
1364	774	76
1365	774	75
1366	775	75
1367	775	74
1368	776	74
1369	776	73
1370	777	73
1371	777	72
1372	778	71
1373	778	71
1374	779	70
1375	779	70
1376	780	69
1377	780	69
1378	781	68
1379	781	67
1380	782	67
1381	783	66
1382	783	66
1383	784	65
1384	784	65
1385	785	64
1386	785	64
1387	786	63
1388	786	62
1389	787	62
1390	787	61
1391	788	61
1392	788	60
1393	789	60
1394	789	59
1395	790	58
1396	790	58
1397	791	57
1398	791	57
1399	792	56
1400	792	56
1401	793	55
1402	794	54
1403	794	54
1404	794	53
1405	795	53
1406	796	52
1407	796	52
1408	797	51
1409	797	50
1410	798	50
1411	798	49
1412	798	49
1413	799	48
1414	799	48
1415	800	47
1416	801	46
1417	801	46
1418	802	45
1419	802	45
1420	803	44
1421	804	44
1422	804	43
1423	805	42
1424	805	42
1425	806	41
1426	806	41
1427	807	40
1428	807	40
1429	808	39
1430	808	38
1431	809	38
1432	809	37
1433	810	37
1434	810	36
1435	811	36
1436	811	35
1437	812	35
1438	812	34
1439	813	33
1440	813	33
1441	814	32
1442	814	32
1443	815	31
1444	816	31
1445	816	30
1446	817	29
1447	817	29
1448	818	28
1449	818	28
1450	819	27
1451	819	27
1452	820	26
1453	820	25
1454	821	25
1455	821	24
1456	822	24
1457	822	23
1458	823	23
1459	823	22
1460	824	22
1461	824	21
1462	825	20
1463	826	20
1464	826	19
1465	827	19
1466	827	18
1467	827	18
1468	828	17
1469	828	16
1470	829	16
1471	829	15
1472	830	15
1473	831	14
1474	831	14
1475	832	13
1476	832	12
1477	833	12
1478	833	11
1479	834	11
1480	834	10
1481	835	10
1482	835	9
1483	836	9
1484	836	8
1485	837	7
1486	837	7
1487	838	6
1488	838	6
1489	839	5
1490	839	5
1491	840	4
1492	840	3
1493	841	3
1494	842	2
1495	842	2
1496	843	1
1497	843	1
1498	844	0
1499	844	0
